monastery_name,lat,lon,crown_interference,leadership_opposition,rankfile_opposition,any_opposition,source
Beverley Franciscans,53.837008,-0.435626,0.0,0.0,0.0,0,Friaries: wardens appointed by order; Crown interference N/A. No pre-Pilgrimage opposition documented.
Kingston Upon Hull,53.741253,-0.33304,0.0,0.0,0.0,0,Friaries: wardens appointed by order; Crown interference N/A. No pre-Pilgrimage opposition documented.
White Friars Hull,53.742804,-0.345237,0.0,0.0,0.0,0,Friaries: wardens appointed by order; Crown interference N/A. No pre-Pilgrimage opposition documented.
York Austin Friars,53.960151,-1.085495,0.0,0.0,0.0,0,Friaries: wardens appointed by order; Crown interference N/A. No pre-Pilgrimage opposition documented.
York Blackfriars,53.957959,-1.090136,0.0,0.0,0.0,0,Friaries: wardens appointed by order; Crown interference N/A. No pre-Pilgrimage opposition documented.
York Franciscan Friary,53.955094,-1.08135,0.0,0.0,0.0,0,Friaries: wardens appointed by order; Crown interference N/A. No pre-Pilgrimage opposition documented.
York Greyfriars,53.95518,-1.081075,0.0,0.0,0.0,0,Friaries: wardens appointed by order; Crown interference N/A. No pre-Pilgrimage opposition documented.
York Whitefriars,53.958734,-1.076397,0.0,0.0,0.0,0,Friaries: wardens appointed by order; Crown interference N/A. No pre-Pilgrimage opposition documented.
Northallerton,54.342289,-1.432519,0.0,0.0,0.0,0,Friaries: wardens appointed by order; Crown interference N/A. No pre-Pilgrimage opposition documented.
Richmond Greyfriars,54.404513,-1.73805,0.0,0.0,0.0,0,Friaries: wardens appointed by order; Crown interference N/A. No pre-Pilgrimage opposition documented.
Scarborough Blackfriars,54.284713,-0.39892,0.0,0.0,0.0,0,Friaries: wardens appointed by order; Crown interference N/A. No pre-Pilgrimage opposition documented.
Scarborough Greyfriars,54.285036,-0.39503,0.0,0.0,0.0,0,Friaries: wardens appointed by order; Crown interference N/A. No pre-Pilgrimage opposition documented.
Scarborough Whitefriars,54.283373,-0.397841,0.0,0.0,0.0,0,Friaries: wardens appointed by order; Crown interference N/A. No pre-Pilgrimage opposition documented.
Yarm Blackfriars,54.506445,-1.352252,0.0,0.0,0.0,0,Friaries: wardens appointed by order; Crown interference N/A. No pre-Pilgrimage opposition documented.
Doncaster Greyfriars,53.52695,-1.137798,0.0,0.0,0.0,0,Friaries: wardens appointed by order; Crown interference N/A. No pre-Pilgrimage opposition documented.
Doncaster Whitefriars,53.522851,-1.135048,0.0,0.0,0.0,0,Friaries: wardens appointed by order; Crown interference N/A. No pre-Pilgrimage opposition documented.
Tickhill,53.428327,-1.119474,0.0,0.0,0.0,0,Friaries: wardens appointed by order; Crown interference N/A. No pre-Pilgrimage opposition documented.
Pontefract Blackfriars,53.689592,-1.309873,0.0,0.0,0.0,0,Friaries: wardens appointed by order; Crown interference N/A. No pre-Pilgrimage opposition documented.
Stainfield Priory,53.244257,-0.33385117,0.0,0.0,0.0,0,VCH Lincs II. Benedictine nunnery; no evidence.
"St Michael's Priory, Stamford",52.646248,-0.48220989,0.0,0.0,0.0,0,VCH Lincs II. Small Benedictine.
