name,selected,diocese,town,order,typeHouse,members,year,latitude,longitude,mother hou,nickAdd,NAnetInc,lnInc,survival,bigOrder,smallOrder,bigHouse,smallHouse,rebel,distLond,ladyHouse,ladyInc,county,region,founded,originalFoundation,foundedSource,ID
Castle Hedingham Priory,,,Castle Hedingham,Benedictine,,Nuns,1535,51.99009,0.588343,,,29.0,3.36729583,-1,1,0,0,1,0,0.854135891,1,29.0,ESSEX,2,,,,127
Wymondley Priory,1.0,,,Augustinian,,Canons,1537,51.93771,-0.228299,,,29.0,3.36729583,1,1,0,0,1,0,0.441678235,0,0.0,HERTFORDSHIRE,2,1218.0,,https://www.british-history.ac.uk/vch/herts/vol4/pp440-443,128
St Sepulchre,,,Canterbury,Benedictine,,Nuns,1536,51.273901,1.084634,,,29.0,3.36729583,0,1,0,0,1,0,1.225688302,1,29.0,KENT,2,,,,129
Flamstead Priory,,,,Benedictine,,Nuns,1537,51.819083,-0.484855,,,30.0,3.401197382,1,1,0,0,1,0,0.479626449,1,30.0,HERTFORDSHIRE,2,,,,130
Combwell Priory,,,,Augustinian,,Canons,1536,51.073854,0.43388,,,30.0,3.401197382,0,1,0,0,1,0,0.703495027,0,0.0,KENT,2,,,,131
Clattercote Priory,1.0,,Clattercote,Gilbertine,,Canons,1538,52.139338,-1.332007,,,34.0,3.526360525,2,0,1,0,1,0,1.367346526,0,0.0,OXFORDSHIRE,2,1157.0,,"https://www.british-history.ac.uk/vch/oxon/vol2/p105, middle of possible range",132
Harrold Priory,1.0,,Harrold,Augustinian,Austin Friars,Canonesses,1536,52.19945,-0.60547,,,40.0,3.688879454,0,1,0,0,1,0,0.844316777,1,40.0,BEDFORDSHIRE,2,1145.0,,"https://www.british-history.ac.uk/vch/beds/vol1/pp387-390, middle of range",133
Sopwell Priory,,,St Albans,Benedictine,,Nuns,1539,51.744065,-0.335524,St Albans Abbey,1.0,40.0,,3,1,0,0,1,0,0.319467714,1,,HERTFORDSHIRE,2,,,,134
Folkestone Priory,1.0,,Folkestone,Benedictine,,Monks,1535,51.078796,1.181644,,,41.0,3.713572067,-1,1,0,0,1,0,1.369405475,0,0.0,KENT,2,1095.0,628.0,https://www.british-history.ac.uk/vch/kent/vol2/pp236-238,135
Ankerwycke Priory,,,Staines,Benedictine,,Nuns,1536,51.4442,-0.5565,,,44.0,3.784189634,0,1,0,0,1,0,0.443310501,1,44.0,BUCKINGHAMSHIRE,2,,,,136
Burnham Abbey,1.0,,Burnham,Augustinian,,Canonesses,1539,51.515594,-0.660624,,,51.0,3.931825633,3,1,0,0,1,0,0.542552839,1,51.0,BUCKINGHAMSHIRE,2,1266.0,,https://www.british-history.ac.uk/vch/bucks/vol1/pp382-384,137
Langdon Abbey,,,Dover,Premonstratensian,,Canons,1535,51.174491,1.326782,,,56.0,4.025351691,-1,0,1,0,1,0,1.483324065,0,0.0,KENT,2,,,,138
Moatenden Priory,,,,Augustinian,Trinitarian,Friars,1538,51.187876,0.601421,,,58.0,4.060443011,2,1,0,0,1,0,0.788336439,0,0.0,KENT,2,,,,139
Thremhall Priory,1.0,,Bishop's Stortford,Augustinian,,Canons,1536,51.870192,0.22243,,,60.0,4.094344562,0,1,0,0,1,0,0.495680298,0,0.0,ESSEX,2,1150.0,,"https://www.british-history.ac.uk/vch/essex/vol2/pp163-164, ""middle of the twelfth century""",140
Hatfield Peverel Priory,,,Hatfield Peverel,Benedictine,,Monks,1536,51.768942,-0.602896,St Albans Abbey,,60.0,4.094344562,0,1,0,0,1,0,0.54961634,0,0.0,HERTFORDSHIRE,2,,,,141
Goring Priory,,,Oxford,Augustinian,,Canonesses,1536,51.522156,-1.140111,,,60.0,4.094344562,0,1,0,0,1,0,1.02208329,1,60.0,OXFORDSHIRE,2,,,,142
West Peckham Preceptory,,,,Augustinian,Knights Hospitaller,,1540,51.249473,0.360269,,,63.0,4.143134726,4,1,0,0,1,0,0.54471205,0,0.0,KENT,2,,,,143
Reigate Priory,1.0,,Reigate,Augustinian,,Canons,1536,51.235427,-0.206452,,,68.0,4.219507705,0,1,0,0,1,0,0.288437876,0,0.0,SURREY,2,1240.0,,"https://www.british-history.ac.uk/vch/surrey/vol2/pp105-107, founder death",144
Bushmead Priory,,,Staploe,Augustinian,,Canons,1536,52.233611,-0.3675,,,71.0,4.262679877,0,1,0,0,1,0,0.765384374,0,0.0,BEDFORDSHIRE,2,,,,145
Hertford,,,Hertford,Benedictine,,Monks,1538,51.799328,-0.074918,St Albans Abbey,,72.0,4.276666119,2,1,0,0,1,0,0.292532693,0,0.0,HERTFORDSHIRE,2,,,,146
Hogshaw Commandery,,,Hogshaw,Augustinian,Knights Hospitaller,,1540,51.895808,-0.928763,,,74.0,4.304065093,4,1,0,0,1,0,0.897787454,0,0.0,BUCKINGHAMSHIRE,2,,,,147
Hounslow,,,,Augustinian,Trinitarian,Friars,1538,51.468613,-0.363836,,,74.0,4.304065093,2,1,0,0,1,0,0.249196841,0,0.0,MIDDLESEX,2,,,,148
Kilburn Priory Benedictines,1.0,,,Benedictine,,Nuns,1536,51.541066,-0.198922,,,74.0,4.304065093,0,1,0,0,1,0,0.086586905,1,74.0,MIDDLESEX,2,1134.0,,https://www.british-history.ac.uk/vch/middx/vol9/pp47-51,149
Greenham Preceptory,,,,Augustinian,Knights Hospitaller,,1540,51.400946,-1.319561,,,77.0,4.343805422,4,1,0,0,1,0,1.206400145,0,0.0,BERKSHIRE,2,,,,150
Maplestead Preceptory,,,Little Maplestead,Augustinian,Knights Hospitaller,,1540,51.9748,0.6546,,,77.0,4.343805422,4,1,0,0,1,0,0.901722979,0,0.0,ESSEX,2,,,,151
Wroxton Abbey,1.0,,Wroxton,Augustinian,,Canons,1536,52.071359,-1.393646,,,78.0,4.356708827,0,1,0,0,1,0,1.393607378,0,0.0,OXFORDSHIRE,2,1209.0,,https://wroxton.org.uk/index_htm_files/The%20History%20of%20Wroxton2.pdf,152
Lavendon Abbey,1.0,,Lavendon,Premonstratensian,,Canons,1536,51.1695,-0.6683,,,79.0,4.369447852,0,0,1,0,1,0,0.647039636,0,0.0,SURREY,2,1158.0,,"https://www.british-history.ac.uk/vch/bucks/vol1/pp384-386, reign of Henry II, tagged middle",153
Bilsington Priory,1.0,,,Augustinian,,Canons,1536,51.082611,0.915936,,,81.0,4.394449155,0,1,0,0,1,0,1.118879711,0,0.0,KENT,2,1253.0,,https://www.british-history.ac.uk/vch/kent/vol2/pp156-157,154
Tandridge Priory,,,,Augustinian,,Canons,1538,51.253769,-0.027163,,,81.0,4.394449155,2,1,0,0,1,0,0.271889432,0,0.0,SURREY,2,,,,155
"Studley Priory, Oxfordshire",1.0,,Horton-cum-Studley,Benedictine,,Nuns,1539,51.805448,-1.13464,,1.0,82.0,,3,1,0,0,1,0,1.058604313,1,,OXFORDSHIRE,2,1176.0,,https://www.british-history.ac.uk/vch/oxon/vol2/pp77-79,156
Royston Priory,,,,Augustinian,,Canons,1537,52.047839,-0.021672,,,86.0,4.454347296,1,1,0,0,1,0,0.546414814,0,0.0,HERTFORDSHIRE,2,,,,157
Swingfield Preceptory,,,,Augustinian,Knights Hospitaller,,1540,51.151887,1.190482,,,87.0,4.465908119,4,1,0,0,1,0,1.356698851,0,0.0,KENT,2,,,,158
Monks Horton,,,,Benedictine,Cluniac,Monks,1536,51.114311,1.007819,,,95.0,4.553876892,0,1,0,0,1,0,1.193425062,0,0.0,KENT,2,,,,159
St Radegund's Abbey,1.0,,,Premonstratensian,,Canons,1536,51.131845,1.250762,,,98.0,4.584967479,0,0,1,0,1,0,1.420135338,0,0.0,KENT,2,1192.0,,https://www.british-history.ac.uk/vch/kent/vol2/pp172-175,160
"St Leonard's Priory, London",,,Bromley-By-Bow,Benedictine,,Nuns,1536,51.528014,-0.022063,,1.0,108.0,,0,1,0,0,1,0,0.09771187,1,,MIDDLESEX,2,,,,161
Caldwell Priory,1.0,,Bedford,Augustinian,,Canons,1536,52.12944,-0.47649,,,109.0,4.691347882,0,1,0,0,1,0,0.715646076,0,0.0,BEDFORDSHIRE,2,1159.0,,"https://www.british-history.ac.uk/vch/beds/vol1/pp382-385, middle of range",162
St. Botolph's Priory,,,Colchester,Augustinian,,Canons,1536,51.8874,0.9046,,,113.0,4.727387819,0,1,0,0,1,0,1.090112861,0,0.0,ESSEX,2,,,,163
Leez Priory,,,Little Leighs,Augustinian,,Canons,1536,51.839473,0.467235,,,114.0,4.736198448,0,1,0,0,1,0,0.671691536,0,0.0,ESSEX,2,,,,164
Markyate Priory,,,Caddington,Benedictine,,Nuns,1537,51.84385,-0.46445,,,114.0,4.736198448,1,1,0,0,1,0,0.481055241,1,114.0,HERTFORDSHIRE,2,,,,165
Durham College,1.0,,Oxford,Benedictine,,Monks,1545,51.7553,-1.25718,,,115.0,4.744932128,9,1,0,0,1,0,1.165193261,0,0.0,OXFORDSHIRE,2,1291.0,,https://www.british-history.ac.uk/vch/oxon/vol2/pp68-70,166
Hurley Priory,1.0,,Hurley,Benedictine,,Monks,1536,51.5496,-0.8097,Westminister Abbey,,121.0,4.795790546,0,1,0,0,1,0,0.692732791,0,0.0,BERKSHIRE,2,1086.0,,https://www.british-history.ac.uk/vch/berks/vol2/pp73-77,167
St Gregory's Priory,,,Canterbury,Augustinian,,Canons,1535,51.282259,1.084149,,,121.0,4.795790546,-1,1,0,0,1,0,1.223629283,0,0.0,KENT,2,,,,168
Hatfield Regis Priory,,,Hatfield Broad Oak,Benedictine,,Monks,1536,51.82781,0.24271,,,122.0,4.804021045,0,1,0,0,1,0,0.480819147,0,0.0,ESSEX,2,,,,169
Bruern Abbey,1.0,,Burford,Cistercian,,Monks,1536,51.867,-1.636,Waverley Abbey,,124.0,4.820281566,0,1,0,0,1,0,1.559316969,0,0.0,OXFORDSHIRE,2,1147.0,,https://www.british-history.ac.uk/vch/oxon/vol2/pp79-81,170
Biddlesden Abbey,,,Biddlesden,Cistercian,,Monks,1538,52.0539,-1.0797,Garendon,,125.0,4.828313737,2,1,0,0,1,0,1.104763219,0,0.0,BUCKINGHAMSHIRE,2,,,,171
St Sexburga/ Minster,,,Sheppey,Augustinian,,Canonesses,1536,51.422169,0.812071,,,129.0,4.859812404,0,1,0,0,1,0,0.9343085,1,129.0,KENT,2,,,,172
Sandford Preceptory,,,Sandford,Augustinian,Knights Hospitaller,,1540,51.712858,-1.23137,,,141.0,4.94875989,4,1,0,0,1,0,1.131601282,0,0.0,OXFORDSHIRE,2,,,,173
Bicester Priory,,,Bicester,Augustinian,,Canons,1536,51.895069,-1.152717,,,147.0,4.990432587,0,1,0,0,1,0,1.103952205,0,0.0,OXFORDSHIRE,2,,,,174
Little Dunmow Priory,,,Little Dunmow,Augustinian,,Canons,1536,51.865084,0.403823,,,150.0,5.010635294,0,1,0,0,1,0,0.631259269,0,0.0,ESSEX,2,,,,175
Prittlewell Priory,,,Prittlewell,Benedictine,Cluniac,,1536,51.553185,0.704757,,,155.0,5.043425117,0,1,0,0,1,0,0.823989434,0,0.0,ESSEX,2,,,,176
Colne Priory,,,Earls Colne,Benedictine,,Monks,1536,51.9267,0.71,Abingdon Abbey,,156.0,5.049856007,0,1,0,0,1,0,0.927032092,0,0.0,ESSEX,2,,,,177
Beeleigh Abbey,,,Maldon,Premonstratensian,,Canons,1540,51.7379,0.6635,,,157.0,5.056245805,4,0,1,0,1,0,0.814148003,0,0.0,ESSEX,2,,,,178
The Temple Preceptory,1.0,,,Augustinian,Knights Hospitaller,,1540,51.513203,-0.110486,,,162.0,5.087596335,4,1,0,0,1,0,0.008260279,0,0.0,MIDDLESEX,2,1185.0,,https://historicengland.org.uk/listing/the-list/list-entry/1064646?section=official-list-entry,179
Tilty Abbey,,,Tilty,Cistercian,,Monks,1536,51.914183,0.324633,Warden,,167.0,5.117993812,0,1,0,0,1,0,0.599480114,0,0.0,ESSEX,2,,,,180
Dover Priory,,,Dover,Benedictine,,Monks,1538,51.126389,1.306667,Christchurch Canterbury,,170.0,5.135798437,2,1,0,0,1,0,1.475506152,0,0.0,KENT,2,,,,181
Rewley Abbey,,,Oxford,Cistercian,,Monks,1536,51.754207,-1.267816,Thame,,174.0,5.159055299,0,1,0,0,1,0,1.175365449,0,0.0,OXFORDSHIRE,2,,,,182
Waverley Abbey,1.0,,Farnham,Cistercian,,Monks,1536,51.202362,-0.75972,L'Aumone,,174.0,5.159055299,0,1,0,0,1,0,0.71155981,0,0.0,SURREY,2,1128.0,,https://www.british-history.ac.uk/vch/surrey/vol2/pp77-89,183
Bisham Priory,,,Bisham,Augustinian,,Canons,1536,51.558012,-0.779185,,,185.0,5.220355825,0,1,0,0,1,0,0.662826168,0,0.0,BERKSHIRE,2,,,,184
Dorchester Abbey,1.0,,Dorchester,Augustinian,Arrouaisian,Canons,1536,51.6437,-1.1644,,,190.0,5.247024072,0,1,0,0,1,0,1.054807746,0,0.0,OXFORDSHIRE,2,1140.0,,https://www.british-history.ac.uk/vch/oxon/vol2/pp87-90,185
Boxley Abbey,,,Boxley,Cistercian,,Monks,1537,51.300026,0.524809,Clairvaux,,204.0,5.318119994,1,1,0,1,0,0,0.676329108,0,0.0,KENT,2,,,,186
Chicksands Priory,1.0,,,Gilbertine,,Mixed,1538,52.040896,-0.366417,,,212.0,5.356586275,2,0,1,1,0,0,0.586098878,0,0.0,BEDFORDSHIRE,2,1150.0,,https://www.british-history.ac.uk/vch/beds/vol1/pp390-393,187
Malling Abbey,,,West Malling,Benedictine,,Nuns,1538,51.293333,0.412222,,,218.0,5.384495063,2,1,0,1,0,0,0.572875216,1,218.0,KENT,2,,,,188
Melchbourne Preceptory,,,,Augustinian,Knights Hospitaller,,1540,52.271256,-0.492454,,,241.0,5.484796933,4,1,0,1,0,0,0.848322825,0,0.0,BEDFORDSHIRE,2,,,,189
Coggeshall Abbey,,,Coggeshall,Cistercian,,Monks,1538,51.869167,0.6925,Savigny,,251.0,5.525452939,2,1,0,1,0,0,0.886607745,0,0.0,ESSEX,2,,,,190
Thame Abbey,,,Thame,Cistercian,,Monks,1539,51.727916,-0.963279,Waverley Abbey,,256.0,5.545177444,3,1,0,1,0,0,0.872820099,0,0.0,OXFORDSHIRE,2,,,,191
Newark Priory,,,Ripley,Augustinian,,Canons,1538,51.308918,-0.50689,,,258.0,5.552959585,2,1,0,1,0,0,0.437711817,0,0.0,SURREY,2,,,,192
Missenden Abbey,1.0,,Great Missenden,Augustinian,Arrouaisian,Canons,1538,51.700759,-0.702853,,,261.0,5.564520407,2,1,0,1,0,0,0.61508135,0,0.0,BUCKINGHAMSHIRE,2,1133.0,,https://www.british-history.ac.uk/vch/bucks/vol1/pp369-376,193
St Mary De Fonte Clerkenwell,,,Clerkenwell,Augustinian,,Canonesses,1539,51.523575,-0.106014,,,262.0,5.568344504,3,1,0,1,0,0,0.018175589,1,262.0,MIDDLESEX,2,,,,194
Godstow Abbey,,,Godstow,Benedictine,,Nuns,1539,51.778238,-1.299599,,,275.0,5.616771098,3,1,0,1,0,0,1.211565727,1,275.0,OXFORDSHIRE,2,,,,195
Elstow Abbey,1.0,,Elstow,Benedictine,,Nuns,1539,52.11495,-0.46935,,,284.0,5.648974238,3,1,0,1,0,0,0.699529174,1,284.0,BEDFORDSHIRE,2,1090.0,,"https://www.british-history.ac.uk/vch/beds/vol1/pp353-358, ""near the end of the eleventh century""",196
Newnham Priory,,,,Augustinian,,Canons,1540,52.140758,-0.445118,,,284.0,5.648974238,4,1,0,1,0,0,0.710490272,0,0.0,BEDFORDSHIRE,2,,,,197
Faversham Abbey,,,Faversham,Benedictine,,Monks,1538,51.316667,0.895833,,,286.0,5.655991811,2,1,0,1,0,0,1.032200454,0,0.0,KENT,2,,,,198
Haliwell Priory,,,Shoreditch,Augustinian,,Canonesses,1538,51.523962,-0.07892,,,294.0,5.683579767,2,1,0,1,0,0,0.041593387,1,294.0,MIDDLESEX,2,,,,199
Abbey of the Minoresses of St. Clare without Aldgate,,,London,Franciscan,Poor Clares,,1539,51.512514,-0.075457,,,318.0,5.762051383,3,0,1,1,0,0,0.042717042,0,0.0,MIDDLESEX,2,,,,200
"St Helen's Priory, Bishopsgate",1.0,,"Bishopsgate, City of London",Benedictine,,Nuns,1538,51.514769,-0.082363,,,320.0,5.768320996,2,1,0,1,0,0,0.0360538,1,320.0,MIDDLESEX,2,1220.0,,"https://www.british-history.ac.uk/vch/london/vol1/pp457-461, ""in the early part of the thirteenth century""",201
Dunstable Priory,1.0,,Dunstable,Augustinian,,Canons,1540,51.886003,-0.51771,,,344.0,5.840641657,4,1,0,1,0,0,0.548695187,0,0.0,BEDFORDSHIRE,2,1132.0,,https://www.british-history.ac.uk/vch/beds/vol1/pp371-377,202
"Holy Trinity Priory, Aldgate",1.0,,"Aldgate, City of London",Augustinian,,Canonesses,1532,51.513646,-0.078074,,,355.0,5.872117789,-4,1,0,1,0,0,0.040191715,1,355.0,MIDDLESEX,2,1107.0,,https://www.british-history.ac.uk/vch/london/vol1/pp465-475,203
Leeds Priory,,,Leeds,Augustinian,Canons Regular,Canons,1539,51.247222,0.611111,,,362.0,5.891644212,3,1,0,1,0,0,0.775113514,0,0.0,KENT,2,,,,204
Walden Abbey,1.0,,Walden,Benedictine,,Monks,1538,52.020732,0.220993,,,372.0,5.918893854,2,1,0,1,0,0,0.613050763,0,0.0,ESSEX,2,1142.0,,"https://www.british-history.ac.uk/vch/essex/vol2/pp110-115, middle of 4 year range",205
Dartford Priory,,,Dartford,Dominican,,Nuns,1539,51.449951,0.214751,London,,380.0,5.940171253,3,0,1,1,0,0,0.33822429,1,380.0,KENT,2,,,,206
Wardon Abbey,,,Old Warden,Cistercian,,Monks,1537,52.081389,-0.363333,Rievaulx,,389.0,5.963579344,1,1,0,1,0,0,0.621791455,0,0.0,BEDFORDSHIRE,2,,,,207
Woburn Abbey,,,Woburn,Cistercian,,Monks,1538,51.982866,-0.595787,Fountains,,391.0,5.96870756,2,1,0,1,0,0,0.672151117,0,0.0,BEDFORDSHIRE,2,,,,208
Ashridge Priory,,,,Augustinian,Bonshommes,Canons,1539,51.799486,-0.559402,,,416.0,6.03068526,3,1,0,1,0,0,0.527777983,0,0.0,BUCKINGHAMSHIRE,2,,,,209
Eynsham Abbey,,,Eynsham,Benedictine,,Monks,1538,51.778611,-1.373889,,,421.0,6.042632834,2,1,0,1,0,0,1.284195422,0,0.0,OXFORDSHIRE,2,,,,210
Notley Abbey,,,Long Crendon,Augustinian,Arrouaisian,Canons,1539,51.7768,-0.9645,,,437.0,6.079933195,3,1,0,1,0,0,0.887454337,0,0.0,BUCKINGHAMSHIRE,2,,,,211
Bermondsey Abbey Cluniacs,1.0,,Bermondsey,Benedictine,Cluniac,Monks,1538,51.49691,-0.079638,,,464.0,6.139884552,2,1,0,1,0,0,0.040628482,0,0.0,SURREY,2,1082.0,,https://www.british-history.ac.uk/vch/surrey/vol2/pp64-77,212
Bermondsey Abbey Non-Cluniacs,,,Bermondsey,Benedictine,,Monks,1536,51.2951,-0.451,,,474.0,6.161207322,0,1,0,1,0,0,0.396237833,0,0.0,SURREY,2,,,,213
Rochester Cathedral,,,Rochester,Benedictine,,Monks,1540,51.388933,0.503215,,,486.0,6.186208624,4,1,0,1,0,0,0.633000433,0,0.0,KENT,2,,,,214
Stratford Langthorne Abbey,,,West Ham,Cistercian,,Monks,1538,51.532888,0.003816,Savigny,,511.0,6.23636959,2,1,0,1,0,0,0.124045845,0,0.0,ESSEX,2,,,,215
Colchester Abbey,,,Colchester,Benedictine,,Monks,1539,51.885538,0.901371,,,523.0,6.259581464,3,1,0,1,0,0,1.086439096,0,0.0,ESSEX,2,,,,216
St Mary Graces,1.0,,,Cistercian,,Monks,1538,51.509297,-0.072055,Beaulieu,,547.0,6.304448802,2,1,0,1,0,0,0.046050366,0,0.0,MIDDLESEX,2,1350.0,,https://www.british-history.ac.uk/vch/london/vol1/pp461-464,217
Southwark Cathedral Priory,1.0,,,Augustinian,,Canons,1539,51.506118,-0.08966,,,624.0,6.436150368,3,1,0,1,0,0,0.02870372,0,0.0,SURREY,2,1106.0,,https://www.british-history.ac.uk/rchme/london/vol5/pp58-68,218
Charterhouse London,1.0,,City of London,Carthusian,,Monks,1537,51.521372,-0.100136,,,642.0,6.464588304,1,0,1,1,0,0,0.021260943,0,0.0,MIDDLESEX,2,1371.0,,https://www.british-history.ac.uk/old-new-london/vol2/pp380-404,219
Osney Abbey,,,Osney,Augustinian,,Canons,1539,51.749682,-1.271836,,,654.0,6.483107351,3,1,0,1,0,0,1.178369305,0,0.0,OXFORDSHIRE,2,,,,220
Chertsey Abbey,,,Chertsey,Benedictine,,Monks,1537,51.395,-0.5031,,,659.0,6.490723535,1,1,0,1,0,0,0.401808412,0,0.0,SURREY,2,,,,221
St Osyth's Abbey,,,St Osyth,Augustinian,,Canons,1539,51.7992,1.0749,,,677.0,6.517671273,3,1,0,1,0,0,1.227552704,0,0.0,ESSEX,2,,,,222
"St Bartholomew's Priory, Smithfield",,,"Smithfield, City of London",Augustinian,,Canons,1539,51.518755,-0.099671,,,693.0,6.541029999,3,1,0,1,0,0,0.020402894,0,0.0,MIDDLESEX,2,,,,223
Sheen Priory,,,Sheen,Carthusian,,Monks,1539,51.4681,-0.3148,,,800.0,6.684611728,3,0,1,1,0,0,0.201113152,0,0.0,SURREY,2,,,,224
Barking Abbey,1.0,,Barking,Benedictine,,Nuns,1539,51.535706,0.075159,,,862.0,6.759255271,3,1,0,1,0,0,0.194961123,1,862.0,ESSEX,2,970.0,666.0,"https://www.british-history.ac.uk/vch/essex/vol2/pp115-122, deserted for a century after being burned in 870, restored by King Edgar",225
Waltham Abbey,,,Waltham Abbey,Augustinian,Canons Regular,Canons,1540,51.687611,-0.003454,,,900.0,6.802394763,4,1,0,1,0,0,0.211398611,0,0.0,ESSEX,2,,,,226
Merton Priory,,,Merton,Augustinian,,Canons,1538,51.414527,-0.181832,,,960.0,6.866933284,2,1,0,1,0,0,0.114790512,0,0.0,SURREY,2,,,,227
St Augustine's Abbey,1.0,,Canterbury,Benedictine,,Monks,1538,51.2782,1.087644,,,1413.0,7.253470383,2,1,0,1,0,0,1.227823209,0,0.0,KENT,2,598.0,,https://www.british-history.ac.uk/vch/kent/vol2/pp126-133,228
Syon Abbey,,,Heston and Isleworth,Bridgettine,,Canonesses,1539,51.476797,-0.312934,,,1731.0,7.456454555,3,0,1,1,0,0,0.197642927,1,1731.0,MIDDLESEX,2,,,,229
Abingdon Abbey,1.0,,Abingdon,Benedictine,,Monks,1538,51.670872,-1.277557,,,1876.0,7.53689713,2,1,0,1,0,0,1.17056411,0,0.0,BERKSHIRE,2,967.0,675.0,"https://www.british-history.ac.uk/vch/berks/vol2/pp51-62, refounded in reign of King Edgar",230
Reading Abbey,,,Reading,Benedictine,Cluniac,,1538,51.456328,-0.964956,,,1938.0,7.569411792,2,1,0,1,0,0,0.848555106,0,0.0,BERKSHIRE,2,,,,231
St Albans Abbey,1.0,,St Albans,Benedictine,,Monks,1539,51.750453,-0.342246,,,2102.0,7.650644551,3,1,0,1,0,0,0.328723401,0,0.0,HERTFORDSHIRE,2,793.0,,https://www.british-history.ac.uk/vch/herts/vol2/pp483-488,232
Canterbury Cathedral Priory,1.0,,Canterbury,Benedictine,,Monks,1539,51.279722,1.083056,,,2349.0,7.761744985,3,1,0,1,0,0,1.223030537,0,0.0,KENT,2,1080.0,597.0,"https://www.british-history.ac.uk/vch/kent/vol2/pp113-121#anchorn7, under Lanfranc, chose middle of term, 597 questionable",233
St John's Preceptory Clerkenwell,,,,Augustinian,Knights Hospitaller,,1540,51.522526,-0.103099,,,2385.0,7.776954403,4,1,0,1,0,0,0.019543047,0,0.0,MIDDLESEX,2,,,,234
Westminster Abbey,1.0,,Westminster,Benedictine,,Monks,1539,51.499411,-0.127232,,,3470.0,8.151909873,3,1,0,1,0,0,0.013982859,0,0.0,MIDDLESEX,2,1065.0,735.0,https://www.british-history.ac.uk/vch/london/vol1/pp433-457,235
Dunstable Friary,,,Dunstable,Dominican,,Friars,1536,51.8841,-0.5204,Cambridge,,,,0,0,1,0,1,0,0.549359718,0,,BEDFORDSHIRE,2,,,,236
Bisham Abbey,,,Bisham,Benedictine,,Monks,1538,51.558012,-0.779185,,,,,2,1,0,0,1,0,0.662826168,0,,BERKSHIRE,2,,,,237
Donnington Friary,,,Donnington,Crutched Friars,,Friars,1538,51.414588,-1.331057,,,,,2,0,1,0,1,0,1.216703799,0,,BERKSHIRE,2,,,,238
"Greyfriars Church, Reading",,,Reading,Franciscan,"Friars Minor, Conventual",Friars,1538,51.456772,-0.976533,Oxford,,,,2,0,1,0,1,0,0.860081645,0,,BERKSHIRE,2,,,,239
Chetwode Priory,,,Chetwode,Augustinian,,Canons,1538,51.963091,-1.069469,Notley,,,,2,1,0,0,1,0,1.053752546,0,,BUCKINGHAMSHIRE,2,,,,240
"St Margaret's Convent, Hertfordshire",,,Great Gaddesden,Benedictine,,Nuns,1535,51.795681,-0.529177,,,,,-1,1,0,0,1,0,0.500597577,1,,BUCKINGHAMSHIRE,2,,,,241
Barham Friary,,,Linton,Crutched Friars,,Friars,1538,52.090476,0.28778,,,,,2,0,1,0,1,0,0.708301462,0,,ESSEX,2,,,,242
Blackfriars Chelmsford,,,Chelmsford,Dominican,,Friars,1538,51.731207,0.472736,London,,,,2,0,1,0,1,0,0.630888037,0,,ESSEX,2,,,,243
Colchester,,,Colchester,Crutched Friars,,Friars,1538,51.887531,0.891692,,,,,2,0,1,0,1,0,1.078058226,0,,ESSEX,2,,,,244
Colchester Friary,,,Colchester,Franciscan,"Friars Minor, Conventual",Friars,1538,51.890074,0.905888,Cambridge,,,,2,0,1,0,1,0,1.092248905,0,,ESSEX,2,,,,245
Maldon Whitefriars,,,Maldon,Carmelites,,Friars,1538,51.730359,0.678084,,,,,2,0,1,0,1,0,0.82611564,0,,ESSEX,2,,,,246
Hitchin,,,Hitchin Priory,Carmelites,,Friars,1538,51.945161,-0.278946,,,,,2,0,1,0,1,0,0.463935913,0,,HERTFORDSHIRE,2,,,,247
King's Langley Priory,,,King's Langley,Dominican,,Friars,1538,51.713,-0.4603,Cambridge,,,,2,0,1,0,1,0,0.397881691,0,,HERTFORDSHIRE,2,,,,248
Ware Friary,,,Ware,Franciscan,"Friars Minor, Conventual",Friars,1538,51.811063,-0.035083,Cambridge,,,,2,0,1,0,1,0,0.312299139,0,,HERTFORDSHIRE,2,,,,249
Greenwich,,,Greenwich,Franciscan,"Friars Minor, Observant",Friars,1538,51.483209,-0.006582,London,,,,2,0,1,0,1,0,0.114690985,0,,KENT,2,,,,250
"Austin Friars, Canterbury",,,Canterbury,Augustinian,Austin Friars,Friars,1538,51.276963,1.080905,Oxford,,,,2,1,0,0,1,0,1.221441457,0,,KENT,2,,,,251
"Blackfriars, Canterbury",,,Canterbury,Dominican,,Friars,1538,51.281389,1.079444,London,,,,2,0,1,0,1,0,1.219169644,0,,KENT,2,,,,252
"Greyfriars, Canterbury",,,Canterbury,Franciscan,Observant,Friars,1538,51.278971,1.076821,,,,,2,0,1,0,1,0,1.217049956,0,,KENT,2,,,,253
Lossenham,,,Lossenham,Carmelites,,,1538,51.020035,0.624213,,,,,2,0,1,0,1,0,0.889434816,0,,KENT,2,,,,254
Sandwich,,,Sandwich,Carmelites,,Friars,1538,51.27333,1.338417,,,,,2,0,1,0,1,0,1.475620026,0,,KENT,2,,,,255
Aylesford Priory,,,Aylesford,Carmelites,,,1538,51.302778,0.471389,,,,,2,0,1,0,1,0,0.624850573,0,,KENT,2,,,,256
"Austin Friars, London",,,City of London,Augustinian,Austin Friars,Friars,1539,51.51557,-0.085579,Oxford,,,,3,1,0,0,1,0,0.03299455,0,,MIDDLESEX,2,,,,257
